eps,split,allow_neg,L1_error,sigma
0.25,bg_heavy,False,677366.6021437303,73.32467944481783
0.25,bg_heavy,True,4017826.097528636,434.9281611079465
0.25,bottom_heavy,False,498384.12143998547,53.94989335069086
0.25,bottom_heavy,True,1001102.6500621466,108.36898464561239
0.25,equal,False,501933.3218908497,54.33409296212933
0.25,equal,True,1734289.7433252865,187.73621122049158
0.25,mid_heavy,False,650292.6184600175,70.393930912753
0.25,mid_heavy,True,3991353.080238726,432.06246696156177
0.25,top_heavy,False,864901.5621568225,93.62526820153795
0.25,top_heavy,True,4171326.0969645083,451.5444782068323
0.5,bg_heavy,False,460770.78647775,49.87826401403919
0.5,bg_heavy,True,2003391.266832233,216.86634974047735
0.5,bottom_heavy,False,286007.1792846466,30.96016938773332
0.5,bottom_heavy,True,501625.8112592432,54.300805052130436
0.5,equal,False,310876.59548598726,33.652274320530296
0.5,equal,True,865904.7392058575,93.73386173909071
0.5,mid_heavy,False,451098.66470052523,48.8312604761887
0.5,mid_heavy,True,1994701.7621410494,215.92571413193272
0.5,top_heavy,False,565844.2432853861,61.25242612093329
0.5,top_heavy,True,2080670.235952184,225.2317690283684
1.0,bg_heavy,False,298955.2132014566,32.36178918030359
1.0,bg_heavy,True,1001041.2911822587,108.36234256998506
1.0,bottom_heavy,False,160637.57554608322,17.388957023319463
1.0,bottom_heavy,True,250279.05171041857,27.09261304047199
1.0,equal,False,185305.05975519863,20.059202894047672
1.0,equal,True,432198.87176176603,46.78536501216361
1.0,mid_heavy,False,293153.67285877845,31.733774624276233
1.0,mid_heavy,True,999339.1960255667,108.17809141063643
1.0,top_heavy,False,353541.40082316234,38.27072342183409
1.0,top_heavy,True,1039608.4493503866,112.53722290926623
2.0,bg_heavy,False,183270.3105641622,19.838942060828014
2.0,bg_heavy,True,498826.6569517716,53.99779765309073
2.0,bottom_heavy,False,87528.79955996046,9.474959570802659
2.0,bottom_heavy,True,125689.67304915689,13.605859746680888
2.0,equal,False,106207.13832724126,11.496882704210948
2.0,equal,True,216247.87892628534,23.40875140981206
2.0,mid_heavy,False,181507.8380573661,19.648155076081302
2.0,mid_heavy,True,500140.8111545924,54.1400543503621
2.0,top_heavy,False,212755.7773703234,23.030732732231428
2.0,top_heavy,True,519577.7589702468,56.24409662740678
